Страна,Площадь,Площадь (мили),Площадь суши (км2),ActualSizeOfCountriesTotalWaterkm,ActualSizeOfCountriesTotalWater,Процент воды в территории,Население,Продолжительность жизни (все),Продолжительность жизни (мужчины),Продолжительность жизни (женщины),ИЧР,"ВВП (номинальный, 2024, млрд $)"
Сент-Китс и Невис,261.0,261.0,260.0,0.0,0.0,0.0,56 183,,,,,1.86
Сент-Китс и Невис,,,,,,,,72.3,68.7,76.2,0.838,
Сент-Люсия,616.0,616.0,610.0,10.0,4.0,1.6,183 000,72.8,69.5,76.5,0.725,3.61
Сент-Мартен,53.0,53.0,50.0,0.0,0.0,0.0,,,,,,
Сербия,88361.0,88361.0,87460.0,115.0,44.0,0.1,6 605 168,76.9,73.7,80.2,0.805,185.014
Сингапур,710.0,710.0,718.0,10.0,4.0,1.4,5 703 600,83.9,81.4,86.4,0.949,794.179
Синт-Мартен,34.0,34.0,34.0,0.0,0.0,0.0,37 224,76.5,73.8,79.7,,
Сирия,185180.0,185180.0,183630.0,1550.0,598.0,0.8,24 672 760,72.6,70.2,74.9,0.557,
Словакия,49037.0,49037.0,49035.0,930.0,360.0,1.9,5 422 620,78.5,75.2,81.7,0.855,239.326
Словения,20273.0,20273.0,20136.4,122.0,47.0,0.6,2 123 103,81.8,79.1,84.5,0.926,112.913
Соеди­нён­ные Штаты Америки,,,,,,,,79.5,77.0,82.0,0.927,
Соединённые Штаты,9372610.0,9372610.0,9147420.0,685924.0,264837.0,7.0,,,,,,
Соломо­новы Острова,,,,,,,,70.7,69.4,72.2,0.562,
Соломоновы Острова,28896.0,28896.0,27990.0,910.0,350.0,3.1,670 000,,,,,
Соломоновы острова,,,,,,,,,,,,2.056
Сомали,637657.0,637657.0,627340.0,10320.0,3985.0,1.6,19 009 151,59.0,56.5,61.6,0.38,34.027
Судан,1886068.0,1886068.0,1868000.0,129813.0,50121.0,7.0,50 448 963,66.5,63.4,69.8,0.516,169.189
Суринам,163820.0,163820.0,156000.0,7820.0,3020.0,4.8,581 000,73.8,70.6,77.0,0.69,12.248
Сьерра-Леоне,71740.0,71740.0,72180.0,120.0,46.0,0.2,7 813 000,62.0,60.2,63.7,0.458,18.942
Таджики­стан,,,,,,,,71.9,69.7,74.1,0.679,
Таджикистан,143100.0,143100.0,138790.0,2590.0,1000.0,1.8,9 886 800,,,,,59.415
Таиланд,,,,,,,71 668 011,76.6,72.3,81.0,0.803,1644.322
Тайвань,36193.0,36193.0,36197.0,3720.0,1440.0,10.3,,80.8,77.9,83.7,,1792.349
